team,record,cover_pct,mov,ats_plus_minus,cover_pct_val,Scrape_Timestamp
NY Yankees,3-0-0,100.0%,4.0,2.5,100.0,2026-03-30 19:41:57
Milwaukee,3-0-0,100.0%,6.3,4.8,100.0,2026-03-30 19:41:57
Colorado,3-0-0,100.0%,-1.0,0.5,100.0,2026-03-30 19:41:57
Minnesota,2-1-0,66.7%,0.0,1.5,66.7,2026-03-30 19:41:57
Detroit,2-1-0,66.7%,2.0,1.5,66.7,2026-03-30 19:41:57
Sacramento,2-1-0,66.7%,-1.7,-0.2,66.7,2026-03-30 19:41:57
Texas,2-1-0,66.7%,1.3,2.8,66.7,2026-03-30 19:41:57
NY Mets,2-1-0,66.7%,1.7,1.2,66.7,2026-03-30 19:41:57
Washington,2-1-0,66.7%,0.3,1.8,66.7,2026-03-30 19:41:57
Atlanta,2-1-0,66.7%,2.3,0.8,66.7,2026-03-30 19:41:57
St. Louis,2-1-0,66.7%,-0.3,1.2,66.7,2026-03-30 19:41:57
Cincinnati,2-1-0,66.7%,-0.3,1.2,66.7,2026-03-30 19:41:57
Arizona,2-1-0,66.7%,-2.7,-1.2,66.7,2026-03-30 19:41:57
Cleveland,2-2-0,50.0%,-2.3,-0.8,50.0,2026-03-30 19:41:57
LA Angels,2-2-0,50.0%,0.8,2.3,50.0,2026-03-30 19:41:57
Seattle,2-2-0,50.0%,2.3,0.8,50.0,2026-03-30 19:41:57
Houston,2-2-0,50.0%,-0.8,-2.3,50.0,2026-03-30 19:41:57
Kansas City,1-2-0,33.3%,-2.3,-0.8,33.3,2026-03-30 19:41:57
Baltimore,1-2-0,33.3%,0.0,-1.5,33.3,2026-03-30 19:41:57
Boston,1-2-0,33.3%,0.3,-1.2,33.3,2026-03-30 19:41:57
Toronto,1-2-0,33.3%,1.7,0.2,33.3,2026-03-30 19:41:57
Tampa Bay,1-2-0,33.3%,0.3,-1.2,33.3,2026-03-30 19:41:57
Philadelphia,1-2-0,33.3%,-1.3,-2.8,33.3,2026-03-30 19:41:57
Chi Cubs,1-2-0,33.3%,-0.3,-1.8,33.3,2026-03-30 19:41:57
Pittsburgh,1-2-0,33.3%,-1.7,-1.2,33.3,2026-03-30 19:41:57
San Diego,1-2-0,33.3%,-2.0,-1.5,33.3,2026-03-30 19:41:57
LA Dodgers,1-2-0,33.3%,2.7,1.2,33.3,2026-03-30 19:41:57
Chi Sox,0-3-0,0.0%,-6.3,-4.8,0.0,2026-03-30 19:41:57
Miami,0-3-0,0.0%,1.0,-0.5,0.0,2026-03-30 19:41:57
SF Giants,0-3-0,0.0%,-4.0,-2.5,0.0,2026-03-30 19:41:57
