Team,HardHit%,Barrel%,wRC+,Scrape_Timestamp
MIL,0.415,0.061,181,2026-03-30 19:41:58
LAA,0.348,0.079,145,2026-03-30 19:41:58
TBR,0.381,0.028999999999999998,130,2026-03-30 19:41:58
WSN,0.5,0.081,133,2026-03-30 19:41:58
SEA,0.349,0.128,129,2026-03-30 19:41:58
ATL,0.4,0.053,126,2026-03-30 19:41:58
STL,0.45299999999999996,0.063,129,2026-03-30 19:41:58
MIA,0.41600000000000004,0.052000000000000005,123,2026-03-30 19:41:58
TOR,0.35600000000000004,0.023,121,2026-03-30 19:41:58
LAD,0.42700000000000005,0.147,116,2026-03-30 19:41:58
NYM,0.35100000000000003,0.054000000000000006,118,2026-03-30 19:41:58
BOS,0.4,0.063,108,2026-03-30 19:41:58
CHW,0.556,0.07400000000000001,108,2026-03-30 19:41:58
PIT,0.375,0.011000000000000001,105,2026-03-30 19:41:58
HOU,0.36700000000000005,0.031,102,2026-03-30 19:41:58
CHC,0.507,0.08,103,2026-03-30 19:41:58
NYY,0.37799999999999995,0.149,98,2026-03-30 19:41:58
TEX,0.45299999999999996,0.08,98,2026-03-30 19:41:58
MIN,0.433,0.045,94,2026-03-30 19:41:58
BAL,0.4,0.015,94,2026-03-30 19:41:58
CIN,0.32899999999999996,0.071,83,2026-03-30 19:41:58
DET,0.299,0.06,77,2026-03-30 19:41:58
CLE,0.36,0.081,73,2026-03-30 19:41:58
PHI,0.373,0.045,70,2026-03-30 19:41:58
SDP,0.425,0.055,66,2026-03-30 19:41:58
ARI,0.33299999999999996,0.028999999999999998,59,2026-03-30 19:41:58
KCR,0.306,0.027999999999999997,49,2026-03-30 19:41:58
COL,0.42,0.043,41,2026-03-30 19:41:58
ATH,0.40399999999999997,0.077,44,2026-03-30 19:41:58
SFG,0.344,0.016,19,2026-03-30 19:41:58
