game_id,date,home_team,away_team,home_score,away_score,status
152753,2024-02-22T20:10:00+00:00,San Diego Padres,Los Angeles Dodgers,1.0,14.0,Finished
152754,2024-02-23T20:05:00+00:00,Chicago Cubs,Chicago White Sox,8.0,1.0,Finished
152756,2024-02-23T20:05:00+00:00,Texas Rangers,Kansas City Royals,5.0,4.0,Finished
152755,2024-02-23T20:08:00+00:00,Los Angeles Dodgers,San Diego Padres,4.0,1.0,Finished
152757,2024-02-23T20:10:00+00:00,Colorado Rockies,Arizona Diamondbacks,3.0,0.0,Finished
152758,2024-02-24T18:05:00+00:00,Minnesota Twins,Pittsburgh Pirates,5.0,3.0,Finished
152759,2024-02-24T18:05:00+00:00,St.Louis Cardinals,Miami Marlins,8.0,9.0,Finished
152769,2024-02-24T18:05:00+00:00,Baltimore Orioles,Boston Red Sox,4.0,3.0,Finished
152771,2024-02-24T18:05:00+00:00,Detroit Tigers,New York Yankees,10.0,22.0,Finished
152772,2024-02-24T18:05:00+00:00,Tampa Bay Rays,Atlanta Braves,5.0,6.0,Finished
152760,2024-02-24T18:07:00+00:00,Toronto Blue Jays,Philadelphia Phillies,13.0,14.0,Finished
152761,2024-02-24T18:10:00+00:00,New York Mets,St.Louis Cardinals,5.0,10.0,Finished
152762,2024-02-24T20:05:00+00:00,San Francisco Giants,Chicago Cubs,4.0,8.0,Finished
152763,2024-02-24T20:05:00+00:00,Kansas City Royals,Texas Rangers,5.0,4.0,Finished
152764,2024-02-24T20:05:00+00:00,Oakland Athletics,Colorado Rockies,1.0,5.0,Finished
152765,2024-02-24T20:05:00+00:00,Chicago White Sox,Seattle Mariners,8.0,7.0,Finished
152770,2024-02-24T20:05:00+00:00,Cleveland Guardians,Cincinnati Reds,0.0,4.0,Finished
152766,2024-02-24T20:10:00+00:00,Los Angeles Angels,Los Angeles Dodgers,7.0,7.0,Finished
152767,2024-02-24T20:10:00+00:00,San Diego Padres,Milwaukee Brewers,7.0,11.0,Finished
152768,2024-02-24T20:10:00+00:00,Arizona Diamondbacks,Colorado Rockies,6.0,2.0,Finished
152773,2024-02-24T23:05:00+00:00,Washington Nationals,Houston Astros,4.0,7.0,Finished
152774,2024-02-25T18:05:00+00:00,New York Yankees,Toronto Blue Jays,12.0,6.0,Finished
152775,2024-02-25T18:05:00+00:00,Philadelphia Phillies,New York Yankees,4.0,0.0,Finished
152782,2024-02-25T18:05:00+00:00,Tampa Bay Rays,Detroit Tigers,9.0,9.0,Finished
152784,2024-02-25T18:05:00+00:00,Pittsburgh Pirates,Baltimore Orioles,0.0,2.0,Finished
152785,2024-02-25T18:05:00+00:00,Boston Red Sox,Minnesota Twins,8.0,6.0,Finished
152787,2024-02-25T18:05:00+00:00,Houston Astros,St.Louis Cardinals,0.0,3.0,Finished
152789,2024-02-25T18:05:00+00:00,Atlanta Braves,Boston Red Sox,4.0,5.0,Finished
152776,2024-02-25T18:10:00+00:00,New York Mets,Houston Astros,3.0,1.0,Finished
152786,2024-02-25T18:10:00+00:00,Miami Marlins,Washington Nationals,3.0,6.0,Finished
152777,2024-02-25T20:05:00+00:00,Chicago Cubs,San Diego Padres,0.0,7.0,Finished
