Team,OPS,ISO,wRC+
LAD,0.781,0.189,117
ARI,0.777,0.177,115
NYY,0.761,0.181,118
PHI,0.75,0.168,107
BAL,0.751,0.186,114
SDP,0.745,0.157,111
HOU,0.741,0.157,111
BOS,0.741,0.171,105
NYM,0.734,0.169,108
MIL,0.729,0.155,105
MIN,0.726,0.165,105
ATL,0.724,0.172,101
CHC,0.71,0.151,100
KCR,0.71,0.156,97
TOR,0.703,0.148,101
STL,0.703,0.144,98
CLE,0.703,0.157,100
COL,0.704,0.158,82
SFG,0.701,0.157,97
CIN,0.693,0.157,89
SEA,0.687,0.152,104
OAK,0.694,0.159,101
TEX,0.686,0.142,97
WSN,0.684,0.132,91
DET,0.685,0.151,94
MIA,0.678,0.134,87
LAA,0.671,0.14,91
PIT,0.672,0.137,86
TBR,0.669,0.136,95
CHW,0.618,0.119,75
