Name,Team,ERA,FIP,K/9,BB/9,WAR
Chris Sale,ATL,2.38,2.09,11.4,1.98,6.4
Tarik Skubal,DET,2.39,2.49,10.69,1.64,6.0
Zack Wheeler,PHI,2.57,3.13,10.08,2.34,5.4
Cole Ragans,KCR,3.14,2.99,10.77,3.24,4.9
Seth Lugo,KCR,3.0,3.25,7.88,2.09,4.7
Dylan Cease,SDP,3.47,3.1,10.65,3.09,4.7
Cristopher Sanchez,PHI,3.32,3.0,7.58,2.18,4.7
Logan Webb,SFG,3.47,2.95,7.56,2.2,4.4
George Kirby,SEA,3.53,3.26,8.43,1.08,4.1
Logan Gilbert,SEA,3.23,3.27,9.49,1.6,4.0
Michael King,SDP,2.95,3.33,10.42,3.26,3.9
Tanner Houck,BOS,3.12,3.32,7.76,2.42,3.9
Corbin Burnes,BAL,2.92,3.55,8.38,2.22,3.8
Sonny Gray,STL,3.84,3.12,10.98,2.11,3.8
Framber Valdez,HOU,2.91,3.25,8.63,2.81,3.7
Yusei Kikuchi,- - -,4.05,3.46,10.55,2.25,3.6
Max Fried,ATL,3.25,3.33,8.57,2.94,3.4
Erick Fedde,- - -,3.3,3.86,7.82,2.64,3.4
Jack Flaherty,- - -,3.17,3.48,10.78,2.11,3.3
Michael Wacha,KCR,3.35,3.65,7.83,2.43,3.3
Tanner Bibee,CLE,3.47,3.56,9.69,2.28,3.3
Pablo Lopez,MIN,4.08,3.65,9.62,1.99,3.2
Hunter Brown,HOU,3.49,3.58,9.48,3.18,3.2
MacKenzie Gore,WSN,3.9,3.53,9.79,3.52,3.2
Shota Imanaga,CHC,2.91,3.72,9.03,1.45,3.1
Aaron Nola,PHI,3.57,3.94,8.89,2.26,3.1
Brandon Pfaadt,ARI,4.71,3.61,9.17,2.08,3.1
Nestor Cortes,NYY,3.77,3.84,8.36,2.01,3.1
Kevin Gausman,TOR,3.83,3.77,8.06,2.78,3.0
Bailey Ober,MIN,3.98,3.82,9.62,2.17,3.0
Sean Manaea,NYM,3.47,3.83,9.12,3.12,2.8
Zach Eflin,- - -,3.59,3.77,7.29,1.31,2.8
Bryce Miller,SEA,2.94,3.58,8.53,2.25,2.7
Nathan Eovaldi,TEX,3.8,3.83,8.75,2.21,2.6
Brady Singer,KCR,3.71,3.93,8.52,2.71,2.5
Ryan Feltner,COL,4.49,4.16,7.65,2.88,2.5
Jameson Taillon,CHC,3.27,3.92,6.8,1.8,2.3
Luis Castillo,SEA,3.64,3.91,8.98,2.41,2.3
Freddy Peralta,MIL,3.68,4.16,10.36,3.52,2.3
Chris Bassitt,TOR,4.16,4.08,8.84,3.68,2.3
Ronel Blanco,HOU,2.8,4.15,8.93,3.66,2.2
Mitch Keller,PIT,4.25,4.08,8.39,2.53,2.2
Luis Severino,NYM,3.91,4.21,7.96,2.97,2.1
Brayan Bello,BOS,4.49,4.19,8.48,3.55,2.0
Miles Mikolas,STL,5.35,4.24,6.4,1.31,1.9
Jake Irvin,WSN,4.41,4.41,7.48,2.49,1.8
Kutter Crawford,BOS,4.36,4.65,8.58,2.5,1.8
Patrick Corbin,WSN,5.62,4.41,7.16,2.78,1.7
Carlos Rodon,NYY,3.96,4.39,10.03,2.93,1.6
Tyler Anderson,LAA,3.81,4.66,7.13,3.66,1.5
Kyle Gibson,STL,4.24,4.42,8.01,3.61,1.4
Austin Gomber,COL,4.75,4.83,6.33,2.07,1.3
JP Sears,OAK,4.38,4.71,6.82,2.44,1.2
Jose Berrios,TOR,3.6,4.72,7.16,2.53,1.1
Jose Quintana,NYM,3.75,4.56,7.13,3.33,1.1
Charlie Morton,ATL,4.19,4.46,9.09,3.54,1.1
Colin Rea,MIL,4.29,4.75,7.25,2.31,0.8
Griffin Canning,LAA,5.19,5.26,6.82,3.46,0.1
