game_id,date,home_team,away_team,home_score,away_score,status,home_pitcher,away_pitcher
745444,2024-03-20,San Diego Padres,Los Angeles Dodgers,2,5,Final,Yu Darvish,Tyler Glasnow
747889,2024-03-20,Minnesota Twins,Detroit Tigers,3,12,Final,Louis Varland,Casey Mize
747885,2024-03-20,Atlanta Braves,Toronto Blue Jays,10,9,Final,Raisel Iglesias,Bowden Francis
747888,2024-03-20,Miami Marlins,New York Mets,3,6,Final,Patrick Monteverde,Christian Scott
747882,2024-03-20,Oakland Athletics,Chicago Cubs,3,1,Final,Paul Blackburn,Mark Leiter Jr.
747878,2024-03-20,Cincinnati Reds,Texas Rangers,1,8,Final,Rhett Lowder,Dane Dunning
747879,2024-03-20,Chicago White Sox,Cincinnati Reds,1,3,Final,Michael Soroka,Lyon Richardson
747880,2024-03-20,Arizona Diamondbacks,Colorado Rockies,5,1,Final,Tommy Henry,Peter Lambert
747881,2024-03-20,Los Angeles Angels,San Francisco Giants,2,5,Final,Tyler Anderson,Jordan Hicks
747886,2024-03-20,Washington Nationals,St. Louis Cardinals,4,13,Final,Zach Davies,Steven Matz
747884,2024-03-20,Baltimore Orioles,Philadelphia Phillies,13,4,Final,Dean Kremer,Taijuan Walker
747887,2024-03-20,New York Yankees,Pittsburgh Pirates,12,0,Final,Luke Weaver,Marco Gonzales
747883,2024-03-21,Kansas City Royals,Los Angeles Angels,8,8,Final,Brady Singer,Andrew Wantz
746175,2024-03-21,Los Angeles Dodgers,San Diego Padres,11,15,Final,Yoshinobu Yamamoto,Joe Musgrove
747875,2024-03-21,Detroit Tigers,New York Mets,5,10,Final,Matt Manning,Dom Hamel
747876,2024-03-21,St. Louis Cardinals,Houston Astros,1,9,Final,Zack Thompson,J.P. France
747872,2024-03-21,Washington Nationals,Minnesota Twins,9,8,Final,Trevor Williams,Cole Sands
747874,2024-03-21,Philadelphia Phillies,Tampa Bay Rays,5,6,Final,Cristopher Sánchez,Ryan Pepiot
747870,2024-03-21,Atlanta Braves,New York Yankees,5,2,Final,Charlie Morton,Nestor Cortes
747868,2024-03-21,Cleveland Guardians,Kansas City Royals,8,5,Final,Carlos Carrasco,Alec Marsh
747865,2024-03-21,Kansas City Royals,Chicago White Sox,3,3,Final,Andrew Hoffmann,Garrett Crochet
747869,2024-03-21,Colorado Rockies,Chicago Cubs,2,5,Final,Ryan Feltner,Yency Almonte
747877,2024-03-21,Boston Red Sox,Baltimore Orioles,3,2,Final,Cooper Criswell,Albert Suárez
747873,2024-03-21,Pittsburgh Pirates,Toronto Blue Jays,2,3,Final,Bailey Falter,Ricky Tiedemann
747867,2024-03-22,Milwaukee Brewers,San Francisco Giants,6,7,Final,Robert Gasser,Landen Roupp
747871,2024-03-22,Seattle Mariners,Cincinnati Reds,7,6,Final,TBD,Nick Martinez
747864,2024-03-22,Philadelphia Phillies,Detroit Tigers,3,4,Final,Zack Wheeler,Tarik Skubal
747863,2024-03-22,New York Yankees,New York Mets,5,3,Final,Luis Gil,Tyler Stuart
747866,2024-03-22,Toronto Blue Jays,Boston Red Sox,5,1,Final,Mitch White,Justin Hagenman
747855,2024-03-22,Oakland Athletics,Cincinnati Reds,8,6,Final,Alex Wood,Graham Ashcraft
747852,2024-03-22,Chicago Cubs,San Francisco Giants,3,7,Final,Justin Steele,Keaton Winn
747857,2024-03-22,San Francisco Giants,Chicago Cubs,13,12,Final,Logan Webb,Javier Assad
747849,2024-03-22,Cleveland Guardians,Texas Rangers,10,0,Final,Shane Bieber,Cody Bradford
747856,2024-03-22,Texas Rangers,Colorado Rockies,2,3,Final,José Ureña,Kyle Freeland
747853,2024-03-22,Chicago White Sox,Oakland Athletics,8,2,Final,Jake Woodford,Joe Boyle
747851,2024-03-22,Arizona Diamondbacks,Seattle Mariners,3,3,Final,Ryne Nelson,Emerson Hancock
747850,2024-03-22,Los Angeles Angels,Chicago White Sox,2,0,Final,José Soriano,Jonathan Cannon
747854,2024-03-22,Milwaukee Brewers,Kansas City Royals,11,5,Final,Bryse Wilson,Cole Ragans
747848,2024-03-22,Seattle Mariners,Milwaukee Brewers,4,4,Final,Luis Castillo,Freddy Peralta
747858,2024-03-22,Tampa Bay Rays,Minnesota Twins,0,0,Final,Garrett Cleavinger,Pablo López
747859,2024-03-22,Minnesota Twins,Atlanta Braves,0,0,Final,TBD,TBD
747862,2024-03-22,Houston Astros,Washington Nationals,0,0,Final,Framber Valdez,Derek Law
747860,2024-03-22,Baltimore Orioles,Pittsburgh Pirates,0,0,Final,Corbin Burnes,Jared Jones
747861,2024-03-22,Miami Marlins,St. Louis Cardinals,0,0,Final,TBD,Miles Mikolas
747846,2024-03-23,Pittsburgh Pirates,Boston Red Sox,4,1,Final,Jared Jones,Brayan Bello
747843,2024-03-23,St. Louis Cardinals,Washington Nationals,2,2,Final,Miles Mikolas,Jake Irvin
747847,2024-03-23,Tampa Bay Rays,Baltimore Orioles,4,6,Final,Zach Eflin,Julio Teheran
747842,2024-03-23,Atlanta Braves,Tampa Bay Rays,2,5,Final,Spencer Strider,Aaron Civale
747839,2024-03-23,Detroit Tigers,New York Yankees,11,6,Final,Brant Hurter,Cody Poteet
747837,2024-03-23,New York Yankees,Philadelphia Phillies,6,6,Final,Carlos Rodón,Spencer Turnbull
747845,2024-03-23,Toronto Blue Jays,Detroit Tigers,7,10,Final,Yusei Kikuchi,Kenta Maeda
747844,2024-03-23,New York Mets,Houston Astros,5,13,Final,Jose Quintana,Cristian Javier
747836,2024-03-23,Oakland Athletics,Los Angeles Angels,11,5,Final,Ross Stripling,Matt Moore
747831,2024-03-23,Kansas City Royals,Texas Rangers,1,1,Final,Matt Sauer,Nathan Eovaldi
747834,2024-03-23,Cincinnati Reds,Colorado Rockies,6,2,Final,Frankie Montas,Cal Quantrill
747835,2024-03-23,San Francisco Giants,Arizona Diamondbacks,5,11,Final,Kyle Harrison,Logan Allen
747832,2024-03-23,Chicago White Sox,Seattle Mariners,2,8,Final,Nick Nastrini,George Kirby
747830,2024-03-23,Chicago Cubs,Milwaukee Brewers,4,7,Final,Ben Brown,Wade Miley
747833,2024-03-23,Arizona Diamondbacks,Cleveland Guardians,0,5,Final,Zac Gallen,Tanner Bibee
747840,2024-03-23,Baltimore Orioles,Toronto Blue Jays,3,2,Final,Corbin Burnes,Yariel Rodríguez
747841,2024-03-23,Boston Red Sox,Minnesota Twins,8,6,Final,Nick Pivetta,Chris Paddack
