game_id,date,home_team,away_team,home_score,away_score,status
745444,2024-03-20,San Diego Padres,Los Angeles Dodgers,2,5,Final
747889,2024-03-20,Minnesota Twins,Detroit Tigers,3,12,Final
747885,2024-03-20,Atlanta Braves,Toronto Blue Jays,10,9,Final
747888,2024-03-20,Miami Marlins,New York Mets,3,6,Final
747882,2024-03-20,Oakland Athletics,Chicago Cubs,3,1,Final
747878,2024-03-20,Cincinnati Reds,Texas Rangers,1,8,Final
747879,2024-03-20,Chicago White Sox,Cincinnati Reds,1,3,Final
747880,2024-03-20,Arizona Diamondbacks,Colorado Rockies,5,1,Final
747881,2024-03-20,Los Angeles Angels,San Francisco Giants,2,5,Final
747886,2024-03-20,Washington Nationals,St. Louis Cardinals,4,13,Final
747884,2024-03-20,Baltimore Orioles,Philadelphia Phillies,13,4,Final
747887,2024-03-20,New York Yankees,Pittsburgh Pirates,12,0,Final
747883,2024-03-20,Kansas City Royals,Los Angeles Angels,8,8,Final
746175,2024-03-21,Los Angeles Dodgers,San Diego Padres,11,15,Final
747875,2024-03-21,Detroit Tigers,New York Mets,5,10,Final
747876,2024-03-21,St. Louis Cardinals,Houston Astros,1,9,Final
747872,2024-03-21,Washington Nationals,Minnesota Twins,9,8,Final
747874,2024-03-21,Philadelphia Phillies,Tampa Bay Rays,5,6,Final
747870,2024-03-21,Atlanta Braves,New York Yankees,5,2,Final
747868,2024-03-21,Cleveland Guardians,Kansas City Royals,8,5,Final
747865,2024-03-21,Kansas City Royals,Chicago White Sox,3,3,Final
747869,2024-03-21,Colorado Rockies,Chicago Cubs,2,5,Final
747877,2024-03-21,Boston Red Sox,Baltimore Orioles,3,2,Final
747873,2024-03-21,Pittsburgh Pirates,Toronto Blue Jays,2,3,Final
747867,2024-03-21,Milwaukee Brewers,San Francisco Giants,6,7,Final
747871,2024-03-21,Seattle Mariners,Cincinnati Reds,7,6,Final
747864,2024-03-22,Philadelphia Phillies,Detroit Tigers,3,4,Final
747863,2024-03-22,New York Yankees,New York Mets,5,3,Final
747866,2024-03-22,Toronto Blue Jays,Boston Red Sox,5,1,Final
747855,2024-03-22,Oakland Athletics,Cincinnati Reds,8,6,Final
747852,2024-03-22,Chicago Cubs,San Francisco Giants,3,7,Final
747857,2024-03-22,San Francisco Giants,Chicago Cubs,13,12,Final
747849,2024-03-22,Cleveland Guardians,Texas Rangers,10,0,Final
747856,2024-03-22,Texas Rangers,Colorado Rockies,2,3,Final
747853,2024-03-22,Chicago White Sox,Oakland Athletics,8,2,Final
747851,2024-03-22,Arizona Diamondbacks,Seattle Mariners,3,3,Final
747850,2024-03-22,Los Angeles Angels,Chicago White Sox,2,0,Final
747854,2024-03-22,Milwaukee Brewers,Kansas City Royals,11,5,Final
747848,2024-03-22,Seattle Mariners,Milwaukee Brewers,4,4,Final
747858,2024-03-22,Tampa Bay Rays,Minnesota Twins,0,0,Final
747859,2024-03-22,Minnesota Twins,Atlanta Braves,0,0,Final
747862,2024-03-22,Houston Astros,Washington Nationals,0,0,Final
747860,2024-03-22,Baltimore Orioles,Pittsburgh Pirates,0,0,Final
747861,2024-03-22,Miami Marlins,St. Louis Cardinals,0,0,Final
747846,2024-03-23,Pittsburgh Pirates,Boston Red Sox,4,1,Final
747843,2024-03-23,St. Louis Cardinals,Washington Nationals,2,2,Final
747847,2024-03-23,Tampa Bay Rays,Baltimore Orioles,4,6,Final
