Name,Team,WAR,IDfg,Type
Aaron Judge,NYY,11.3,15640,Batting
Bobby Witt Jr.,KCR,10.5,25764,Batting
Shohei Ohtani,LAD,9.0,19755,Batting
Juan Soto,NYY,8.3,20123,Batting
Gunnar Henderson,BAL,7.9,26289,Batting
Francisco Lindor,NYM,7.7,12916,Batting
Jarren Duran,BOS,6.8,24617,Batting
Elly De La Cruz,CIN,6.6,26668,Batting
Jose Ramirez,CLE,6.4,13510,Batting
Ketel Marte,ARI,6.3,13613,Batting
William Contreras,MIL,5.5,20503,Batting
Matt Chapman,SFG,5.5,16505,Batting
Cal Raleigh,SEA,5.4,21534,Batting
Vladimir Guerrero Jr.,TOR,5.3,19611,Batting
Jackson Merrill,SDP,5.3,29490,Batting
Yordan Alvarez,HOU,5.2,19556,Batting
Brent Rooker,OAK,5.1,19627,Batting
Bryce Harper,PHI,5.1,11579,Batting
Willy Adames,MIL,4.8,15986,Batting
Marcell Ozuna,ATL,4.7,10324,Batting
Corey Seager,TEX,4.6,13624,Batting
Mookie Betts,LAD,4.3,13611,Batting
Jurickson Profar,SDP,4.3,10815,Batting
Corbin Carroll,ARI,4.3,25878,Batting
Marcus Semien,TEX,4.3,12533,Batting
Rafael Devers,BOS,4.2,17350,Batting
Steven Kwan,CLE,4.2,24610,Batting
Alex Bregman,HOU,4.2,17678,Batting
Dansby Swanson,CHC,4.2,18314,Batting
Jazz Chisholm Jr.,- - -,4.0,20454,Batting
Freddie Freeman,LAD,3.9,5361,Batting
Riley Greene,DET,3.9,25976,Batting
Trea Turner,PHI,3.9,16252,Batting
Jackson Chourio,MIL,3.9,28806,Batting
Jose Altuve,HOU,3.9,5417,Batting
Eugenio Suarez,ARI,3.9,12552,Batting
Colton Cowser,BAL,3.9,29591,Batting
Julio Rodriguez,SEA,3.9,23697,Batting
Nico Hoerner,CHC,3.8,21479,Batting
Ezequiel Tovar,COL,3.7,24064,Batting
Ian Happ,CHC,3.6,17919,Batting
Oneil Cruz,PIT,3.6,21711,Batting
Brenton Doyle,COL,3.6,25479,Batting
Masyn Winn,STL,3.6,27479,Batting
Seiya Suzuki,CHC,3.5,30116,Batting
Manny Machado,SDP,3.5,11493,Batting
Zach Neto,LAA,3.5,31347,Batting
Anthony Volpe,NYY,3.5,27647,Batting
Teoscar Hernandez,LAD,3.4,13066,Batting
Alec Bohm,PHI,3.4,21618,Batting
Kyle Schwarber,PHI,3.3,16478,Batting
Isaac Paredes,- - -,3.3,20036,Batting
